Real Part,Frequency (Hz)
-384.25663201209056,20537.299970211934
-384.2566320121421,20537.29997021184
-573.5597779195865,20295.606292312503
-573.5597779202645,20295.606292312514
-704.0435283256985,20058.92953402156
-704.0435283257746,20058.929534021732
-722.44048168121,29.548793809585895
-722.4404816833344,29.5487938096002
-771.0577151531294,308.8983191404209
-771.0577151533399,308.8983191404913
-779.1171647408437,19594.531211040558
-779.1171647415854,19594.53121104055
-808.5856168216538,19825.351685388498
-808.5856168222126,19825.35168538854
-837.9175084578911,18401.30435034914
-837.9175084580705,18401.304350349394
-841.0227255769504,19336.635459076137
-841.0227255772112,19336.635459076224
-849.737652150881,18131.14367010371
-849.7376521513029,18131.143670103727
-897.2783906980007,15001.389590562529
-897.2783906988848,15001.38959056258
-899.9337339520916,19091.24568764445
-899.9337339522006,19091.245687644452
-904.1982480194273,1486.495042668042
-904.1982480197826,1486.495042668051
-911.9455366419922,573.2802797506749
-911.9455366425728,573.2802797506447
-923.950466424132,16486.960344122726
-923.950466424577,16486.96034412285
-925.0873740431146,1740.3980139717637
-925.0873740431992,1740.3980139718983
-944.0681051639109,13383.57916378209
-944.0681051653937,13383.579163782006
-956.1169061187744,18655.663780973842
-956.1169061193514,18655.663780973773
-959.633169381489,15286.033264117732
-959.6331693829723,15286.033264117528
-959.7368577188427,10038.763818271187
-959.7368577192093,10038.763818271469
-979.0462505014807,9070.665546617905
-979.0462505052864,9070.665546618162
-983.481241984371,17195.89021746471
-983.4812419853126,17195.890217464737
-991.3560832874795,9798.252011521943
-991.3560832897666,9798.25201152178
-991.5875531282404,8809.81501191127
-991.5875531296464,8809.815011911662
-1001.0404341203904,2001.658011917102
-1001.0404341216861,2001.6580119171026
-1016.2070691129925,10766.99955856016
-1016.2070691132267,10766.999558559817
-1019.4421506081137,13095.4925814007
-1019.4421506089908,13095.492581401018
-1023.9524607901596,2685.245168741994
-1023.9524607922309,2685.2451687420116
-1024.352666285482,17435.799314273063
-1024.3526662869876,17435.79931427304
-1030.5034628345923,16918.901210248085
-1030.503462835401,16918.901210248237
-1037.0154595194472,3651.052230396196
-1037.0154595211147,3651.052230396754
-1042.008425976479,2932.724890495086
-1042.008425976767,2932.7248904951894
-1043.3878078857394,9545.101392788984
-1043.387807886595,9545.101392789047
-1051.4381194951206,10301.522579613948
-1051.4381194972402,10301.52257961407
-1053.2948216563393,18875.447751114454
-1053.2948216566965,18875.44775111458
-1053.8280706653761,5533.9960006269575
-1053.8280706656008,5533.99600062705
-1064.2527465575415,9317.050693982306
-1064.252746557719,9317.050693981686
-1064.7094028053489,15762.810832926663
-1064.7094028067709,15762.81083292664
-1068.3453582376221,16204.457127161675
-1068.3453582378809,16204.457127161852
-1074.8149267796314,806.4283427105204
-1074.8149267814308,806.4283427103292
-1079.9813767784754,15515.32360249526
-1079.9813767789133,15515.323602495653
-1083.7470229506134,6518.884635438061
-1083.7470229537448,6518.884635438005
-1084.4841008300211,17696.693485959247
-1084.4841008316662,17696.693485959095
-1085.354766651274,4322.344428077419
-1085.3547666538018,4322.344428077309
-1089.1747946634043,5296.713143663891
-1089.1747946643625,5296.713143664012
